[OWL seed 3] {'cases': 9, 'entail': 8, 'inconsistent': 5, 'bnG': 4, 'bnH': 3, 'mismatch': 0, 'owlrl_crash': 1} 34s
[OWL seed 3] {'cases': 19, 'entail': 17, 'inconsistent': 9, 'bnG': 12, 'bnH': 8, 'mismatch': 0, 'owlrl_crash': 1} 75s
[OWL seed 3] {'cases': 29, 'entail': 25, 'inconsistent': 12, 'bnG': 18, 'bnH': 13, 'mismatch': 0, 'owlrl_crash': 1} 106s
[OWL seed 3] {'cases': 39, 'entail': 33, 'inconsistent': 18, 'bnG': 26, 'bnH': 17, 'mismatch': 0, 'owlrl_crash': 1} 145s
[OWL seed 3] {'cases': 48, 'entail': 41, 'inconsistent': 22, 'bnG': 34, 'bnH': 20, 'mismatch': 0, 'owlrl_crash': 2} 196s
[OWL seed 3] {'cases': 58, 'entail': 47, 'inconsistent': 24, 'bnG': 40, 'bnH': 25, 'mismatch': 0, 'owlrl_crash': 2} 217s
[OWL seed 3] {'cases': 68, 'entail': 55, 'inconsistent': 29, 'bnG': 48, 'bnH': 29, 'mismatch': 0, 'owlrl_crash': 2} 253s
[OWL seed 3] {'cases': 78, 'entail': 64, 'inconsistent': 33, 'bnG': 56, 'bnH': 33, 'mismatch': 0, 'owlrl_crash': 2} 274s
[OWL seed 3] {'cases': 88, 'entail': 72, 'inconsistent': 38, 'bnG': 62, 'bnH': 39, 'mismatch': 0, 'owlrl_crash': 2} 302s
[OWL seed 3] {'cases': 98, 'entail': 81, 'inconsistent': 41, 'bnG': 69, 'bnH': 42, 'mismatch': 0, 'owlrl_crash': 2} 330s
[OWL seed 3] {'cases': 108, 'entail': 91, 'inconsistent': 45, 'bnG': 73, 'bnH': 47, 'mismatch': 0, 'owlrl_crash': 2} 353s
[OWL seed 3] {'cases': 118, 'entail': 99, 'inconsistent': 48, 'bnG': 81, 'bnH': 50, 'mismatch': 0, 'owlrl_crash': 2} 379s
[OWL seed 3] {'cases': 128, 'entail': 107, 'inconsistent': 48, 'bnG': 90, 'bnH': 54, 'mismatch': 0, 'owlrl_crash': 2} 399s
[OWL seed 3] {'cases': 147, 'entail': 117, 'inconsistent': 53, 'bnG': 99, 'bnH': 61, 'mismatch': 0, 'owlrl_crash': 3} 410s
[OWL seed 3] {'cases': 157, 'entail': 124, 'inconsistent': 56, 'bnG': 106, 'bnH': 65, 'mismatch': 0, 'owlrl_crash': 3} 424s
[OWL seed 3] {'cases': 167, 'entail': 133, 'inconsistent': 58, 'bnG': 114, 'bnH': 71, 'mismatch': 0, 'owlrl_crash': 3} 446s
[OWL seed 3] {'cases': 177, 'entail': 140, 'inconsistent': 61, 'bnG': 123, 'bnH': 78, 'mismatch': 0, 'owlrl_crash': 3} 464s
[OWL seed 3] {'cases': 186, 'entail': 149, 'inconsistent': 63, 'bnG': 129, 'bnH': 83, 'mismatch': 0, 'owlrl_crash': 4} 483s
[OWL seed 3] {'cases': 196, 'entail': 158, 'inconsistent': 65, 'bnG': 136, 'bnH': 85, 'mismatch': 0, 'owlrl_crash': 4} 501s
DONE {'cases': 196, 'entail': 158, 'inconsistent': 65, 'bnG': 136, 'bnH': 85, 'mismatch': 0, 'owlrl_crash': 4}
