[RDFS seed 1] {'cases': 10, 'entail': 8, 'inconsistent': 0, 'bnG': 6, 'bnH': 5, 'mismatch': 0} 0s
[RDFS seed 1] {'cases': 20, 'entail': 14, 'inconsistent': 0, 'bnG': 11, 'bnH': 11, 'mismatch': 0} 1s
[RDFS seed 1] {'cases': 30, 'entail': 21, 'inconsistent': 0, 'bnG': 18, 'bnH': 17, 'mismatch': 0} 1s
[RDFS seed 1] {'cases': 40, 'entail': 29, 'inconsistent': 0, 'bnG': 24, 'bnH': 22, 'mismatch': 0} 1s
[RDFS seed 1] {'cases': 50, 'entail': 37, 'inconsistent': 0, 'bnG': 29, 'bnH': 25, 'mismatch': 0} 2s
[RDFS seed 1] {'cases': 60, 'entail': 42, 'inconsistent': 0, 'bnG': 35, 'bnH': 31, 'mismatch': 0} 2s
[RDFS seed 1] {'cases': 70, 'entail': 47, 'inconsistent': 0, 'bnG': 44, 'bnH': 34, 'mismatch': 0} 2s
[RDFS seed 1] {'cases': 80, 'entail': 56, 'inconsistent': 0, 'bnG': 52, 'bnH': 38, 'mismatch': 0} 3s
[RDFS seed 1] {'cases': 90, 'entail': 62, 'inconsistent': 0, 'bnG': 58, 'bnH': 41, 'mismatch': 0} 3s
[RDFS seed 1] {'cases': 100, 'entail': 69, 'inconsistent': 0, 'bnG': 65, 'bnH': 45, 'mismatch': 0} 3s
[RDFS seed 1] {'cases': 110, 'entail': 73, 'inconsistent': 0, 'bnG': 70, 'bnH': 51, 'mismatch': 0} 3s
[RDFS seed 1] {'cases': 120, 'entail': 80, 'inconsistent': 0, 'bnG': 76, 'bnH': 53, 'mismatch': 0} 4s
[RDFS seed 1] {'cases': 130, 'entail': 86, 'inconsistent': 0, 'bnG': 84, 'bnH': 60, 'mismatch': 0} 4s
[RDFS seed 1] {'cases': 140, 'entail': 93, 'inconsistent': 0, 'bnG': 92, 'bnH': 64, 'mismatch': 0} 4s
[RDFS seed 1] {'cases': 150, 'entail': 102, 'inconsistent': 0, 'bnG': 95, 'bnH': 70, 'mismatch': 0} 5s
[RDFS seed 1] {'cases': 160, 'entail': 111, 'inconsistent': 0, 'bnG': 101, 'bnH': 74, 'mismatch': 0} 5s
[RDFS seed 1] {'cases': 170, 'entail': 115, 'inconsistent': 0, 'bnG': 109, 'bnH': 77, 'mismatch': 0} 5s
[RDFS seed 1] {'cases': 180, 'entail': 123, 'inconsistent': 0, 'bnG': 116, 'bnH': 85, 'mismatch': 0} 6s
[RDFS seed 1] {'cases': 190, 'entail': 132, 'inconsistent': 0, 'bnG': 120, 'bnH': 93, 'mismatch': 0} 6s
[RDFS seed 1] {'cases': 200, 'entail': 140, 'inconsistent': 0, 'bnG': 127, 'bnH': 98, 'mismatch': 0} 6s
[RDFS seed 1] {'cases': 210, 'entail': 143, 'inconsistent': 0, 'bnG': 131, 'bnH': 103, 'mismatch': 0} 7s
[RDFS seed 1] {'cases': 220, 'entail': 148, 'inconsistent': 0, 'bnG': 137, 'bnH': 111, 'mismatch': 0} 7s
[RDFS seed 1] {'cases': 230, 'entail': 154, 'inconsistent': 0, 'bnG': 145, 'bnH': 115, 'mismatch': 0} 7s
[RDFS seed 1] {'cases': 240, 'entail': 162, 'inconsistent': 0, 'bnG': 151, 'bnH': 119, 'mismatch': 0} 8s
[RDFS seed 1] {'cases': 250, 'entail': 166, 'inconsistent': 0, 'bnG': 157, 'bnH': 126, 'mismatch': 0} 8s
[RDFS seed 1] {'cases': 260, 'entail': 175, 'inconsistent': 0, 'bnG': 165, 'bnH': 132, 'mismatch': 0} 8s
[RDFS seed 1] {'cases': 270, 'entail': 180, 'inconsistent': 0, 'bnG': 171, 'bnH': 138, 'mismatch': 0} 9s
[RDFS seed 1] {'cases': 280, 'entail': 190, 'inconsistent': 0, 'bnG': 177, 'bnH': 141, 'mismatch': 0} 9s
[RDFS seed 1] {'cases': 290, 'entail': 196, 'inconsistent': 0, 'bnG': 184, 'bnH': 145, 'mismatch': 0} 9s
[RDFS seed 1] {'cases': 300, 'entail': 201, 'inconsistent': 0, 'bnG': 189, 'bnH': 150, 'mismatch': 0} 10s
DONE {'cases': 300, 'entail': 201, 'inconsistent': 0, 'bnG': 189, 'bnH': 150, 'mismatch': 0}
